Name,X,Y,WIDTH,HEIGHT,SCORE
02bf7037-3dee-42d3-b859-98156e3970ab.jpg,80,108,148,148,0.172187535211522
07410372-b174-45dd-bf34-7a682166dba7.jpg,82,208,81,81,0.0633680464854194
0a64e61b-d8eb-4922-bdfa-a1c183aa9d2b.jpg,27,133,119,119,0.132675362182283
0bff86a9-d514-4b6a-9206-e345e2e673ae.jpg,130,122,59,59,0.128802559418487
0e32af13-904e-48d4-a7c1-19fee9571710.jpg,68,153,123,123,0.153776063349223
117e0ed3-4fa6-4759-967b-ef68be88c424.jpg,126,151,58,58,0.132376456106174
12a21d09-b392-4ae1-a1ee-f02ed42f5a96.jpg,68,165,109,109,0.123131482857308
132b570e-dad0-4b39-8d6d-186573d73792.jpg,86,46,84,84,0.137699710398031
175f4d79-33cb-4675-8d95-a452899ff482.jpg,78,80,78,78,0.170073110175326
17968007-162b-476a-8585-dad0615726e1.jpg,31,23,126,126,0.139577741117907
