Name,X,Y,WIDTH,HEIGHT,SCORE,,,,,,,,,,,,,,
00000a71741-a872-427b-8e3e-2f820ccb65ad.jpg,61,83,131,131,0.450065861,,,,,,,,,,,,,,
00000df921c-2e65-42c1-8df9-7bb6d38fafe2.jpg,80,76,110,110,0.294500645,,,,Scores,,,,WIDTH,,,,HEIGHT,,
00004c47-fe3b-46ce-bc2d-2fe223e2c897.jpg,46,75,143,143,0.561623632,,,,MIN,MAX,Average,,MIN,MAX,AVERAGE,,MIN,MAX,AVERAGE
0000df921c-2e65-42c1-8df9-7bb6d38fafe2.jpg,55,55,151,151,0.455143013,,,,0.063368,0.88786327,0.450336085,,58,216,144.8199222,,58,216,144.8199222
0000fea2-7920-46fd-b0b6-9e5da503356e.jpg,47,75,141,141,0.567294377,,,,,,,,,,,,,,
000153b2-ea35-46da-a7cc-a72973743c0e.jpg,84,83,124,124,0.31878218,,,,X,,,,Y,,,,,,
000156ea-64a9-4d86-afdf-91ca66be216d.jpg,47,74,156,156,0.533603541,,,,MIN,MAX,Avarage,,MIN,MAX,Avarage,,,,
00028123-b71c-4e1b-a83b-5766d639a373.jpg,53,64,148,148,0.623427103,,,,8,130,47.72992144,,15,208,65.52185188,,,,
0002be12-de6d-41f2-ac83-59760f29401f.jpg,33,75,142,142,0.43137174,,,,,,,,,,,,,,
0002ed81-0262-43b1-89d4-a0403e5f0c28.jpg,58,53,134,134,0.361669519,,,0.02,0,,,,,,,,,,
00033a20-a7ac-4fee-a245-fbfa6716c139.jpg,39,46,175,175,0.392931767,,,0.025,0,,,,,,,,,,
00043746-bd61-4f39-acdc-c6804ca4ffc0.jpg,27,56,178,178,0.366173253,,,0.03,0,,,,,,,,,,
00050569-4d6a-4dc5-8b1e-2363b78571f4.jpg,64,49,117,117,0.245141495,,,0.035,0,,,,,,,,,,
0005d51d-df40-4579-93b1-611148b47e88.jpg,73,69,127,127,0.43663957,,,0.04,0.213720794,,,,,,,,,,
0005e6cb-76d1-4e06-abdb-3181e3d13909.jpg,67,80,122,122,0.359850301,,,0.07,0.278261605,,,,,,,,,,
0005eb31-aaf8-4931-bf53-3d8f040e2d8a.jpg,58,79,131,131,0.439355885,,,0.1,0.306755191,,,,,,,,,,
00060081-a50a-4f80-9a39-962a237b295e.jpg,72,60,121,121,0.326024465,,,0.15,0.335381873,,,,,,,,,,
0007210c-e6bd-4447-9fc8-d23bce82cfa1.jpg,28,63,187,187,0.313619571,,,0.2,0.358039889,,,,,,,,,,
00077da0-8ee8-4591-a039-a4b9ac5ad76e.jpg,40,72,178,178,0.34160207,,,0.25,0.378401908,,,,,,,,,,
