Name,X,Y,WIDTH,HEIGHT,SCORE
00000a71741-a872-427b-8e3e-2f820ccb65ad.jpg,61,83,131,131,0.450065861338837
00000df921c-2e65-42c1-8df9-7bb6d38fafe2.jpg,80,76,110,110,0.294500644602433
00004c47-fe3b-46ce-bc2d-2fe223e2c897.jpg,46,75,143,143,0.5616236315133
0000df921c-2e65-42c1-8df9-7bb6d38fafe2.jpg,55,55,151,151,0.455143012921946
0000fea2-7920-46fd-b0b6-9e5da503356e.jpg,47,75,141,141,0.567294377055273
000153b2-ea35-46da-a7cc-a72973743c0e.jpg,84,83,124,124,0.318782180103466
000156ea-64a9-4d86-afdf-91ca66be216d.jpg,47,74,156,156,0.533603541428744
00028123-b71c-4e1b-a83b-5766d639a373.jpg,53,64,148,148,0.623427103470909
0002be12-de6d-41f2-ac83-59760f29401f.jpg,33,75,142,142,0.431371739995693
0002ed81-0262-43b1-89d4-a0403e5f0c28.jpg,58,53,134,134,0.361669519354091
00033a20-a7ac-4fee-a245-fbfa6716c139.jpg,39,46,175,175,0.392931767094663
00043746-bd61-4f39-acdc-c6804ca4ffc0.jpg,27,56,178,178,0.366173253149027
00050569-4d6a-4dc5-8b1e-2363b78571f4.jpg,64,49,117,117,0.245141495460112
0005d51d-df40-4579-93b1-611148b47e88.jpg,73,69,127,127,0.436639569909057
0005e6cb-76d1-4e06-abdb-3181e3d13909.jpg,67,80,122,122,0.35985030079542
0005eb31-aaf8-4931-bf53-3d8f040e2d8a.jpg,58,79,131,131,0.439355885258932
00060081-a50a-4f80-9a39-962a237b295e.jpg,72,60,121,121,0.326024464766237
0007210c-e6bd-4447-9fc8-d23bce82cfa1.jpg,28,63,187,187,0.313619571282314
00077da0-8ee8-4591-a039-a4b9ac5ad76e.jpg,40,72,178,178,0.341602069777855
00083b92-ceb0-4dd1-b8ad-199e81ec34a5.jpg,52,81,146,146,0.534550466113553
0008410d-49ed-444d-b9dc-4f5ab7ae5d12.jpg,63,65,142,142,0.484264340276291
0009a40c-3c5b-44ff-84d3-62bdf4756e38.jpg,32,61,170,170,0.443073100439758
000a7866-6f5f-423b-a9ea-f47b79a034c8.jpg,58,67,134,134,0.518869597951663
000afafc-26e6-4374-875c-47d12948d835.jpg,37,77,183,183,0.281701542633921
000afec1-fc1b-4700-9b6f-bf7d51197f5c.jpg,41,63,159,159,0.592530384508292
000b1933-9d15-45b1-a907-49efe334babf.jpg,51,56,155,155,0.526316614906132
000b4141-6310-4848-bae4-1cefa1215de7.jpg,84,56,123,123,0.267610090269464
000b735d-90ab-4f8e-bafd-15954799d15d.jpg,53,71,142,142,0.596979947750904
000b836d-c2e7-487f-9624-375c41690ae5.jpg,48,52,167,167,0.498938276529242
000bea74-bae6-491e-9e8f-ecf2b63b13a1.jpg,57,86,150,150,0.377575751120172
000da9a2-ffec-4a57-8029-0a549d9a5566.jpg,50,54,159,159,0.524882517456436
000db474-7afb-4e5d-a346-0cf4f456828d.jpg,51,66,157,157,0.596879400092774
000e130f-c220-4a27-97b0-8fc72921b108.jpg,55,69,140,140,0.567210175136426
000e173c-dc1e-416c-a391-c711783ba2a8.jpg,45,56,146,146,0.450236463551665
000e4019-fec8-406e-9fd5-9b6df85633be.jpg,59,67,150,150,0.64
000e9a92-090c-4472-8993-14a8c7406c03.jpg,41,70,166,166,0.454096663601491
000ea717-73b8-49da-8961-45aea2f274c8.jpg,17,41,162,162,0.254782899503605
000f311c-c22e-4885-a640-2b2513de1ce2.jpg,49,65,151,151,0.810601126107451
000f9e50-58ec-42d7-b2dc-885d7b6940ab.jpg,56,55,136,136,0.39137872062165
000fd56a-a79b-47b9-9af3-65486ca3cc1e.jpg,57,67,141,141,0.635956362464283
001051dc-9482-415a-91ec-bc38a0c2d36d.jpg,41,62,153,153,0.563846378170098
0010f9b8-db20-4681-b33d-b96aeb65f37f.jpg,57,73,147,147,0.544761524811683
0011c7e9-a940-42c4-8055-fe7d48b794ee.jpg,34,64,175,175,0.396419213789466
0011d1d5-dca8-4bee-b8ce-41257aca9bc7.jpg,52,65,142,142,0.573916931487393
0012442c-990e-4dd3-acdc-5ee1dfacef58.jpg,54,75,135,135,0.486911998670375
00129fb6-1e98-4ff2-8f3e-92cf87f09dc9.jpg,56,71,141,141,0.584063748572232
0012ee9d-871a-448f-a288-e6f54554b3e6.jpg,56,59,148,148,0.488956727708008
0013f0a9-7a21-4f9f-b0cb-5f0042596460.jpg,54,64,136,136,0.477063966107256
001469fe-1b6b-45c7-ac4f-ce3b16ddb5cd.jpg,32,60,184,184,0.324093057509833
0014b8c4-a923-4515-bc2c-afaf08f4706c.jpg,66,67,140,140,0.503153991667203
0016db61-bcec-474c-99f3-a7c682642947.jpg,43,70,157,157,0.5823911775003
0017028c-2fbb-465d-beaa-18f54bed4524.jpg,37,76,138,138,0.401044402939516
0017355d-0855-4ca9-a70b-2fb9b78123c4.jpg,42,86,142,142,0.380394581865182
0017c94a-3af8-47ce-9da5-100a1f1c8fa7.jpg,54,77,139,139,0.558855646832685
0018428d-d2b2-44d9-a3a5-b2f66c73fbcd.jpg,53,64,146,146,0.666070385480691
00186ffd-7e41-43d4-ae27-836ce8a8a7af.jpg,41,59,159,159,0.606418844698123
0018ca1d-d885-4ada-b208-1e167acf5093.jpg,46,73,156,156,0.544621145004348
